word,token_id,snt_id,onset,offset,pos,log_freq
觀察,6,41,0.36781,0.26493,ADJ,0
佢哋,7,41,0.61545,0.37523,PRON,5.63479
但,1,42,0.72508,0.78651,CCONJ,3.49651
咁,2,42,1.11475,1.1978,ADV,6.1334
都,3,42,1.42333,1.58786,ADV,7.70931
冇,4,42,1.67861,1.91261,VERB,6.66185
改變,5,42,1.83629,2.2442,VERB,1.09861
到,6,42,2.21996,2.32408,PART,6.7546
我,7,42,2.48117,2.78434,PRON,7.92154
對,8,42,2.7228,108.535,ADP,4.65396
佢哋,9,42,1.45839,3.46168,PRON,5.63479
嘅,10,42,0.19398,3.58329,PART,7.47647
睇法,11,42,0.52498,0.15101,NOUN,1.09861
每,1,43,0.66817,0.21301,PRON,3.73767
當,2,43,1.17994,0.36781,VERB,3.63759
我,3,43,1.33524,0.61545,PRON,7.92154
遇到,4,43,1.72316,110.535,VERB,0
個,5,43,0.16466,1.11475,NOUN,7.29912
頭腦,6,43,0.33304,1.42333,NOUN,1.60944
好似,7,43,0.51672,1.67861,VERB,5.77765
比較,8,43,0.57551,1.83629,ADV,4.30407
清晰,9,43,0.76308,2.21996,ADJ,1.09861
嘅,10,43,1.18917,2.48117,PART,7.47647
大人,11,43,1.33762,2.7228,NOUN,1.38629
嗰陣,12,43,1.55437,1.45839,PRON,2.48491
我,1,44,1.64938,0.19398,PRON,7.92154
就會,2,44,1.78429,0.52498,ADV,0
拎,3,44,1.91921,112.799,VERB,2.77259
我,4,44,0.15969,1.17994,PRON,7.92154
一直,5,44,0.28854,1.33524,ADV,1.60944
保留,6,44,0.36935,1.72316,VERB,0.69315
住,7,44,0.49424,0.16466,PART,5.53733
嘅,8,44,0.78894,0.33304,PART,7.47647
大作一號,9,44,0.976,0.51672,NOUN,0
出嚟,10,44,1.16806,0.57551,VERB,0
我,1,45,1.45626,0.76308,PRON,7.92154
想,2,45,1.69819,1.18917,AUX,5.44674
知道,3,45,2.11309,1.33762,VERB,4.02535
佢,4,45,2.24832,1.55437,PRON,7.72312
會,5,45,2.58274,115.733,AUX,6.69827
唔,6,45,1.38882,1.78429,ADV,7.60489
會,7,45,0.1949,1.91921,AUX,6.69827
睇,8,45,0.44806,0.15969,VERB,6.31716
得,9,45,0.66321,0.28854,PART,6.2672
明,10,45,0.92024,0.36935,VERB,3.78419
但係,1,46,1.17728,0.49424,CCONJ,6.66441
每次,2,46,1.47109,0.78894,PRON,1.60944
都,3,46,1.62614,0.976,ADV,7.70931
總係,4,46,1.76907,1.16806,ADV,0
聽,5,46,2.44569,118.529,VERB,5.17615
到,6,46,1.33869,1.69819,PART,6.7546
類似,7,46,0.23169,2.11309,ADJ,2.48491
一,8,46,0.42523,2.24832,NUM,7.01751
頂,9,46,0.74715,2.58274,VERB,2.56495
帽,10,46,0.83967,1.38882,NOUN,0
啫,11,46,0.9399,0.1949,PART,5.52943
嘅,12,46,1.03183,0.44806,PART,7.47647
答案,13,46,1.15079,0.66321,NOUN,1.79176
咁,1,47,1.2957,0.92024,ADV,6.1334
我,2,47,1.35298,120.128,PRON,7.92154
就,3,47,0.1495,1.47109,ADV,7.50824
唔,4,47,0.33221,1.62614,ADV,7.60489
會,5,47,1.51573,1.76907,AUX,6.69827
再,6,47,1.57489,2.44569,ADV,4.58497
