snt_id	snt
2.113	你一定要話
2.114	我見到一間值成千萬嘅屋啊
2.115	咁佢哋就會恍然大悟咁驚歎一聲
2.116	嘩咁一定好靚啦
2.117	如果你同啲大人講
2.118	小王子存在嘅證據就係佢好有魅力好鍾意笑同埋想要隻綿羊仔
2.119	佢想要隻綿羊咁就證明佢存在啦
2.120	佢哋一定會聳聳個脖頭當你係細路仔
2.121	但係如果你同佢哋講
2.122	小王子個星球就係小行星B六一二
2.123	咁佢哋就會相信
2.124	就唔會再用一大堆問題嚟煩你
2.125	啲大人就係咁㗎啦
2.126	但都唔好怪佢哋
2.127	小朋友對大人應該寬厚啲嘅
3.001	我每一日都知多啲啲關於小王子個星球嘅嘢
3.002	佢點解要離開
3.003	同埋佢知道佢旅程
3.004	呢啲嘢全部都係喺我同佢傾偈嘅時候慢慢聽翻嚟㗎
3.005	去到第三日我仲從佢口中得知猢猻樹原來有幾咁可怕
3.006	其實都係多得隻綿羊仔
3.007	因為嗰日小王子失驚無神突然心事重重咁問我
3.008	其實係咪真㗎
3.009	啲綿羊真係乜嘢薯仔都食㗎
3.010	係㗎真㗎
3.011	噢太好喇
3.012	我其實都唔係好明綿羊食唔食薯仔有咩咁重要
3.013	不過小王子又追問
3.014	咁即係佢地都會食猢猻樹啦
3.015	我提醒小王子猢猻樹有成座教堂咁大棵
3.016	一啲都唔細
3.017	就算佢搵一大堆大笨象翻嚟
3.018	都未必食得晒成棵猢猻樹
3.019	小王子聽到一大堆大笨象呢個情景
3.020	即刻忍唔住笑出嚟
3.021	咁我諗佢哋要疊羅漢咁一隻疊一隻先夠位啦
3.022	不過佢又頭頭是道咁解釋翻
3.023	猢猻樹生得好大棵之前
3.024	都係一棵樹仔嚟㗎嘛
3.025	你又講得啱
3.026	但你點解會想啲綿羊食晒啲猢猻樹仔呢
3.027	佢答我係咁都要問
3.028	佢啲口吻好似講到你又好顯而易見咁
3.029	不過我就要絞盡腦汁先至諗得通個問題
3.030	原來同其他任何一個星球一樣
3.031	小王子個星球上邊有好嘅植物亦有壞嘅植物
3.032	好嘅植物會帶來好嘅種子
3.033	而壞嘅植物就會帶來壞嘅種子
3.034	但係啲種子係肉眼睇唔到㗎
3.035	佢哋會靜雞雞匿埋係大地下邊瞓著
3.036	直到有一日其中一粒想瞓醒為止
3.037	之後佢會伸個懶腰
3.038	怕怕醜醜咁向住太陽生出一條嫰枝
3.039	如果呢棵係一棵蘿蔔苗又或者係玫瑰花苗
3.040	咁你可以由得佢隨便生長
3.041	但係如果佢係一棵壞植物呢
3.042	你就一定要有咁快得咁快將佢連根拔起
